id;logradouro;numero;complemento;bairro;cidade;estado;cep
d5e1016f-f29e-4d78-b770-5dbe6908c15e;Madeira cenoura Avenida;Streamlined ouro bandwidth-monitored;Buckinghamshire Ceará;Rústico quantifying;motivating Benin cross-platform;repurpose circuit;Bacon prata Borracha
d813a139-61c1-43cc-af32-c9a42309d4a6;GB dynamic Money;Lindo copying Mesa;Centralized Gostoso;invoice Agent;Rodovia digital mobile;logistical;Loan
c0778353-4661-4779-b502-eedd8bf74cb1;Crianças;Malásia;Madeira;Secured Avon cinza;de;monitoring;program
73132d3e-fa86-4b5d-9d92-8dde5a1dd9db;Internal;Mobility Bebê;Versatile interface SSL;Refinado Profound;deposit;solutions Marginal;Mobility Sabonete Rua
bcf98bce-ece2-43ed-b976-ccc7fe5062f3;Bedfordshire;Pará;mão Lindo Computador;Inteligente;Micronésia contingency;bypassing compressing;RSS Polarised
541e9e8c-53bf-47cc-a765-7e2643dbdaa7;e-business system Sergipe;Borders;Fantástico;Reduced;Travessa Analyst;Toalhas copy;Planner matrix
10569968-2aad-49dc-868a-1fc3177cb075;pixel;communities compress;unleash;fúchsia Consultant Mesa;Incrível Licenciado;Stand-alone;Plástico Market Pequeno
2b6f9064-2d5b-4b73-91dd-d4572cddf9ba;Algodão;navigating;Buckinghamshire Administrator;Alameda;HDD Optimization Administrator;Automated Manager array;hack
73182e84-6e70-4b51-b9d7-b34c0f86b7ba;Stand-alone;target Avenida;Pataca Beleza;Concreto Goiás;Gourde Colombian hacking;Camboja Savings interface;Producer Rua
8b3e93ed-d8a6-405b-8792-e100025d1e41;Avenida Incrível Refinado;virtual synergies;Producer;tangible Licenciado;Rua magenta Developer;SSL Investment International;object-oriented revolutionary optical
