id;nome;sexo_turma;faixa_etaria;data_inicio;data_fim;data_cadastro
1a0dfb51-b65a-4973-a6f0-a76b361abf4e;Public-key monitoring Cape;UNISSEX;JOVEM;2022-10-03;2022-10-04;2022-10-04T12:49:40
5f200ba2-910c-4875-8ea2-81df0e0b592b;program Rodovia Dollar;UNISSEX;CRIANCA;2022-10-04;2022-10-04;2022-10-03T17:27:47
3d9c45d9-8d47-4b3d-9d18-4c206c94422e;Roraima;FEMININO;ADOLESCENTE;2022-10-03;2022-10-04;2022-10-03T16:29:28
5dd32dad-90a9-42f5-aa1c-ce2e9a044f36;Account microchip;MASCULINO;ADULTO;2022-10-04;2022-10-03;2022-10-04T02:11:05
e9336724-a820-43be-baf5-2137d8218598;disintermediate Antillian;MASCULINO;ADOLESCENTE;2022-10-03;2022-10-03;2022-10-04T06:43:09
9484dcad-c580-4335-aaf3-cfc370ad231d;data-warehouse marca;FEMININO;PRE_ADOLESCENTE;2022-10-03;2022-10-04;2022-10-04T04:27:10
43213442-6dc0-4164-b3ce-b8180e469e3f;Dynamic;FEMININO;PRE_ADOLESCENTE;2022-10-03;2022-10-03;2022-10-03T17:20:41
a595aa5c-6776-48f0-8500-2515edea4edf;Loan;FEMININO;PRE_ADOLESCENTE;2022-10-04;2022-10-03;2022-10-03T18:39:09
36f566ad-20d3-4704-9b08-598438b64414;productivity;UNISSEX;ADOLESCENTE;2022-10-04;2022-10-04;2022-10-03T23:10:36
a4b5ae45-bc7e-4054-a68f-de427af59bc9;deliverables Irlanda customized;UNISSEX;CRIANCA;2022-10-04;2022-10-03;2022-10-04T00:34:46
